title, category, price, city, available
'Креветки Королевские 26/30 очищенные', Морепродукты, 6100, Актау, В наличии
'Креветка Королевская 31/40 очищенная', Морепродукты, 5900, Актау, В наличии
'Лангустины в панцире с головой, размер 21-30', Морепродукты, 6500, Актау, В наличии
'Морской Коктейль Стандарт 1 кг', Морепродукты, 3000, Актау, В наличии
'Креветка Королевская  21/25, в панцире без головы', Морепродукты, 5500, Актау, В наличии
'Трубка Кальмара', Морепродукты, 3700, Актау, В наличии
'Чука салат замороженный', Морепродукты, 2800, Актау, В наличии
'Мидии в раковине 40-60 закрытые', Морепродукты, 4800, Актау, В наличии
'Гребешок Risma 10/20 глазурь 7%', Морепродукты, 13500, Актау, В наличии
'Вонголе Свежемороженные уп. 500 гр', Морепродукты, 3500, Актау, В наличии
'Мидии на раковине Киви 40/60,  Новая Зеландия', Морепродукты, 5400, Актау, В наличии
'Креветка Арктическая, 70/90,  Гренландия', Морепродукты, 6700, Актау, В наличии
'Осьминог Бэби, размер 40/60', Морепродукты, 5500, Актау, В наличии
'Креветка Ваннамей 16/20 в панцире б/г', Морепродукты, 5700, Актау, В наличии
'Лангустины в Панцире с головой, размер 10-20', Морепродукты, 7200, Актау, В наличии
'Креветка  Салатная 100/200, глазурь 40%', Морепродукты, 3900, Актау, В наличии
'Щупальца Кальмара свежемороженные', Морепродукты, 3500, Актау, В наличии
'Креветка Северная, 90/120,  Гренландия', Морепродукты, 3990, Актау, В наличии
'Мясо Мидий очищенное', Морепродукты, 3000, Актау, В наличии
'Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг', Морепродукты, 6500, Актау, В наличии
'Гребешок 10/20, глазурь 25%', Морепродукты, 6800, Актау, В наличии
'Устрицы Gillardeau №2', Морепродукты, 1790, Актау, В наличии
'Кольца Кальмара, уп. 1 кг', Морепродукты, 4800, Актау, В наличии
'Устрицы Ostra Regal  #2', Морепродукты, 2100, Актау, В наличии
'Устрицы Fin De Claire №2 Marine', Морепродукты, 1400, Актау, Временно нет в наличии
'Креветка Тигровая  с головой 16/20', Морепродукты, 9000, Актау, В наличии
'Конечности Камчатского Краба 4L', Морепродукты, 24000, Актау, В наличии
'Креветка Тигровая 8/12  с головой', Морепродукты, 12000, Актау, В наличии
'Устрицы Tarbouriech', Морепродукты, 2400, Актау, В наличии
'Кальмар Патагонский', Морепродукты, 5500, Актау, В наличии
'Гребешок Морской на раковине с икрой 12/16', Морепродукты, 7600, Актау, В наличии
'Улитка Бургундская в металлическом поддоне', Морепродукты, 2990, Актау, В наличии
'Хвост Омара, замороженный', Морепродукты, 40000, Актау, В наличии
